url,week_price,location,desc,topics,available_now,photos_taken_on
https://myrooms.co.uk/properties/25-walnut-tree-house-tregunter-road-london-sw10-9hj/,210,Fulham Broadway,"A pretty double room to rent available in Fulham, Walnut Tree House, SW10 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-06-01
https://myrooms.co.uk/properties/gorgeous-double-room-westbourne-park-westbourne-park-road-w2/,250,Royal Oak,"A gorgeous double room in Westbourne Park, 79 Westbourne Park Road, W2, -D","['Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Restaurants', 'Selection of shops']",False,2017-02-01
https://myrooms.co.uk/properties/fantastic-flatshare-barons-court-double-room-single-use-robert-gentry-d/,190,Barons Court Underground Station,"Fantastic flatshare in Barons Court: double room for single use at Robert Gentry House, W14, -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-03-01
https://myrooms.co.uk/properties/lovely-accommodation-for-single-use-in-a-modern-flatshare-in-borough-lancaster-street-se10-b/,230,Waterloo Underground Station,"Lovely accommodation for single use in a modern flatshare in Waterloo, Lancaster Street, SE1, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/brand-new-en-suite-room-alert-stunning-double-room-with-private-bathroom-in-stockwell-wandsworth-road-sw8-b/,215,Stockwell Underground Station,"Amazig double room in a brand new flatshare in Stockwell, Wandsworth Road, SW8, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-06-01
https://myrooms.co.uk/properties/stunning-double-room-for-single-use-in-a-modern-apartment-in-pratt-street-nw1-d/,215,Camden Town Underground Station,"Stunning double room for single use in a modern apartment in Camden Town, 31 Pratt Street, NW1, -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-11-01
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-stunning-4-bedroom-flat-in-belgravia-ashburnham-mews-sw1p-b/,260,Victoria Underground Station,"Great accommodation for single use in a stunning 4 bedroom flat in Belgravia, Ashburnham Mews, SW1P, – B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-12-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-camden-town-43-pratt-street-b/,230,Camden Town Tube Station,"Lovely double room for single use in Camden Town, 43 Pratt Street, NW1, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-03-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-maida-vale-randolph-avenue-w9-a/,220,Maida Vale Tube Station,"Lovely double room for single use in Maida Vale, Randolph Avenue, W9 -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-03-01
https://myrooms.co.uk/properties/gorgeous-double-room-single-use-rent-heart-fulham-fulham-park-gardens-sw6/,205,Fulham Broadway,"A gorgeous double room for single use to rent in the heart of Fulham, Fulham Park Gardens, SW6 -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-09-01
https://myrooms.co.uk/properties/superb-double-room-single-use-brand-new-flat-fulham-broadway-allestree-court-sw6/,205,Fulham Broadway Underground Station,"Nice room for single use in a brand new flat in Fulham Broadway, Allestree Road, SW6, -C","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2017-11-01
https://myrooms.co.uk/properties/amazing-double-room-for-single-use-in-a-3-bedroom-flat-in-pimlico-tachbrook-street-gf-sw1v-b/,235,Pimlico,"Amazing double room for single use in a 3 bedroom flat in Pimlico, Tachbrook Street (GF), SW1V, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-05-01
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-brand-new-flatshare-in-camden-pratt-street-nw1-e/,220,Camden Town Tube Station,"Great accommodation for single use in a brand new flatshare in Camden, 31 Pratt Street NW1 -E","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2018-11-01
https://myrooms.co.uk/properties/superb-double-room-for-single-use-in-malden-road-nw5-d/,210,Belsize Park,"Superb double room for single use in the great Belsize Park, Malden Road, NW5, -D","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",False,2019-02-01
