title,desc,url,type,pcm_price,pw_price,bills_included,available_now,location,new_today
b'Beautiful 3 beds by the riverside',"b'Beautiful 3 bedroom apartment, with a large living room leading onto a spacious balcony with serious views. Conveniently located at a 10 minute walk...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13263901&search_id=885030262&offset=0&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,250,,True,True,Greenwich (SE8),False
b'\xc3\xb0\xc2\x9f\xc2\x92\xc2\xa8 Be Fast Last Two Rooms Together \xc3\xb0\xc2\x9f\xc2\x92\xc2\xa8',"b'\xc3\xb0\xc2\x9f\xc2\x9b\xc2\xab Are you coming to London or looking for a new place to call Home?Do you have a new job opportunity, studying or looking for a new life...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13948357&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,3 doubles,,190-200,True,False,Kentish Town (NW5),True
b'Very large room close to UCL and Warren St Undergr',"b""Very large and clean bedroomWalking distance to Regent's park and UCLEasy walking access to Warren Street Underground Station, Euston Square...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13948318&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,900,,True,True,Camden (NW1),True
b'Nice room awesome location',"b'Hi! I am Tsvet, 26 and I currently work in Central London as software engineer(Not a nerd I promise, maybe a little). I am looking for a flatmate to...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13948153&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,000,,False,True,Ladbroke Grove (W10),True
b'Luminous double room in modern flat in Shoreditch',b'Key features:- Furnished double room in bright stylish brand-new luxury 2 bed flat (70sqm).- Modern kitchen fully equipped.-  Well connected: 15...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=8936524&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,100,,True,True,Old Street (N1),True
b'Short Term -PUTNEY- Double Rm a block from river',"b""Hi, I'm looking to sublet my room in a large, sunny property with eat-in-kitchen, lounge, study  and terrace only a block from the river.  You'd be...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9676186&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,850,,False,False,Putney (SW15),True
b'Massive double room to rent in Roehampton/Putney',b'Room is available for move in 1st NovemberCouple Friendly Flat shareMassive Double room 190 Per WeekMinimum stay 2monthsNo smoking in the...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13947970&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,,190,True,False,Roehampton (SW15),True
b'Newly renovated double bedroom near Barbican',"b'Hi there, nice to flatmeet you.Double bedroom in the Golden Lane estate available from 20th October. The room has plenty of space, cupboards and a...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=5824816&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,930,,True,False,London EC1Y (EC1),True
"b'Modern in Dalston, Angel 15 mins'","b""5 min walk to Dalston Junction 10 min walk to Hackney Station Sainsbury's 5 min walk Angel(Old Street 15 mins The room is fully...""",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9755221&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,,180,True,True,Dalston (N16),False
"b'Living Room and Garden, Cheap Deposit'",b'Spacious double room in wonderful house with LIVING ROOM and GARDEN....and TABLE TENNIS :)5 min walk to Dalston Junction Station Hackney...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=9790810&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,Double room,,190,True,True,Dalston Junction (E8),False
"b""2 Amazing Rooms in Kensal Green/ Queen's Park-/Z 2""","b'MASSIVE AMAZING DOUBLE ROOM AND COSY DOUBLE IN EXCELLENT CONDITION. RECENTLY REFURBISHED AND FULLY FURNISHED APARTMENT, BASED IN GREAT LOCATION...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13934047&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D0&,2 doubles,,165-200,True,False,Kensal Rise (W10),False
b'Beautiful double rooms close to Bank and Canary Wh',"b'This amazing penthouse, 3-bed apartment is set across two floors in a brand new apartment building. There\xc3\xa2\xc2\x80\xc2\x99s a large living room, leading onto...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=12880219&search_id=885030262&offset=10&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,100,,True,True,Greenwich (SE10),False
"b'Modern flat, mins from West Ken stn'","b'\xc3\x82\xc2\xa31000 couple room: available October 28th\nThe couple room now has two double wardrobes.\n\nHi, the rent is inclusive of all bills, including council...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12159112&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,000,,True,False,West Kensington (W14),True
b'Amazing Double Room in Putney & Roehampton',b'AMAZING DOUBLE ROOM IN PUTNEY & ROEHAMPTON & FEELS LIKE  HOME Lucky flat mates will be sharing flats with other professionals (Male/ Female). We...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945201&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,,185,True,True,Roehampton (SW15),True
b'Huge Double Room Next to Canary Wharf',b'Hello everyone! October 31st we are going to have available a huge master room. 2 min walk from Crossharbour station5 min from Canary...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13944469&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,910,,True,False,Canary Wharf (E14),True
b'Lovely Flat Near Mile End E3',b'A well furnished 3 Double bed room just 3 minutes from Mile end Station and 5 minutes travel from Stratford.-Available from 2nd October 2019Room...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13880101&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,3 doubles,,180-255,True,True,Mile End (E3),False
b'Double room',b'Unfortunately we have flatmates moving out and we have a double room available for rent in our lovely penthouse flat. Ideally looking for a single to...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11355196&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,863,,False,False,East Village (E20),True
b'North Greenwich 2 Double rooms available',b'Amazing 2 Double rooms available in same 3 dedroomflatthe 2 rooms will share the common bathroomRoom A 200pwRoom B 215pwSE10 0BZ...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10795306&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,2 doubles,,200-215,True,True,North Greenwich (SE10),True
b'Kilburn Amazing 2 Rooms Available Now',b'Kilburn 5 min to the station2 rooms available now200pw bills includedTO MOVE IN-1 month in advance-5 weeks depositProperties...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12715273&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,2 doubles,,200,True,True,Kilburn Park (NW6),True
b'Massive Double room Available Today Holloway rd',b'Massive Double room Available Today Holloway rd2 Bathrooms 3 FlatmatesTO MOVE IN-1 month in advance-5 weeks depositProperties...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10424131&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,,248,True,True,Holloway Road (N7),True
b'Bethnal Green Double room Available Now Couple ok',b'Big Double room available Nowin Bethnal Green only 5 min to Shoreditch190pw couple or friend acceptedBills includedFlat to share only...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=10328080&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,,190,True,True,Shoreditch (E1),True
b'Wesminster/Victoria Amazing Double Room Available',b'Beautiful Double Room AvailableSW1P 4BU250pw  Bills includedTO MOVE IN-1 month in advance-5 weeks depositProperties...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12245572&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D10&,Double room,,250,True,True,Victoria (SW1),True
b'Spacious en suite room in Canary Wharf',"b'Fantastic spacious Double room in a modern house, with a spacious living room and fully fitted modern kitchen. The house is in an extremely quiet,...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=10650352&search_id=885030262&offset=20&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,950,,True,False,Isle of Dogs (E14),False
b'Amazing Double Room Available Now',"b'Close To Archway massive double room available today195pw all bills includedProperties facilities: -ALL BILLS INCLUDED* (water, gas,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=12847972&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,195,True,True,Archway (N19),True
b'AMAZING Ensuite with private attic',b'AMAZING you will have 2 rooms 1 Double with private bathroomand a private attic upstairsTO MOVE IN-1 month in advance-5 weeks...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=8761747&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,270,True,True,East India (E14),True
b'Spacious Double Room In 2nd Floor Highbury Flat',b'Fully furnished large double room in the heart of Highbury in a well maintained 4 bedroom flat close to Stoke Newington & Newington GreenA short...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13931641&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,189,True,True,Highbury (N5),False
"b""3 Amazing Rooms Available In St John's Wood""","b'3 lovely large room available on Prince Albert Road opposite to Regents Park where you have a beautiful lake, canals, walkways gardens and much more....'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13946080&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,3 doubles,950-050,,True,False,St John's Wood (NW8),True
b'Stockwell. Double Room & Single Room',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13946023&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,2 doubles,,180-200,True,True,Stockwell (SW8),True
b'Battersea. 2 Double Rooms',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13946011&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,2 doubles,,215-225,True,False,Battersea (SW8),True
b'Double Room - Kentish Town',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945984&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,185,True,True,Kentish Town (NW5),True
