title,desc,url,type,pcm_price,pw_price,bills_included,available_now,location,new_today
b'Friendly Houseshare in buzzing Brixton',"b'Do you want a home, rather than a room in a house share?! Look no further\xc3\xa2\xc2\x80\xc2\xa6 Three large double bedrooms available...All furnished with a double...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945972&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,3 doubles,900,,False,False,Brixton (SW2),True
b'Double Room - Dalston Junction',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945945&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,215,True,False,Angel (N1),True
b'Legendary double room in HOXTON',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945927&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D20&,Double room,,215,True,False,Shoreditch (N1),True
"b'Brand NEW4 Double Rooms, Living/Dining Area,Garden'",b'4 REMAINING DOUBLES ALL AVAILABLE NOW!!!FROM \xc3\x82\xc2\xa3775- \xc3\x82\xc2\xa3850 ALL BILLS INCLUDED NO COUPLESMIN 6 MONTHSALL BRAND NEW FURNITURE AND KITCHEN...',https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13787851&search_id=885030262&offset=30&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,4 doubles,775-850,,True,True,Islington (N7),False
b'Double room -  ST JOHNS WOOD',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945921&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,230,True,False,St John's Wood (NW8),True
b'Legendary double room in KINGS CROSS',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945885&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,215,True,False,King's Cross (N1),True
b'Legendary Double Room Near South Kensington',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945873&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,250,True,False,South Kensington (SW7),True
b'Legendary double room in ANGEL',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945864&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,250,True,False,Angel (N1),True
b'Legendary Ensuite Double Room in Camden Town',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945798&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,275,True,False,Camden Town (NW1),True
b'New Building Double Room in Arsenal',"b'Brand New furnished Double room available in Arsenal. Professional flatshare. Near Holloway and Arsenal, with lots of amenities around. Moments from...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945795&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,210,True,True,Highbury and Islington (N5),True
b'Legendary double room in ST JOHNS WOOD',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945783&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,285,True,True,St John's Wood (NW8),True
b'Legendary Double Room in Belsize Park',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945774&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,210,True,False,Belsize Park (NW3),True
b'VAUXHALL. Double room',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945756&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,Double room,,280,True,True,Vauxhall (SW8),True
b'HACKNEY. 2 Double rooms',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945738&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D30&,2 doubles,,190-205,True,True,Hackney (E8),True
b'Very Spacious Double Room MILE END',"b'Spacious double room in a two storey house in Mile End Zone 2 with excellent transport connections. Whitechapel, Brick Lane, Liverpool Street &...'",https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=13936729&search_id=885030262&offset=40&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,Double room,,185,False,False,Mile End (E3),False
b'Legendary Double Room in Golders Green',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945732&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,Double room,,195,True,False,Golders Green (NW11),True
b'Legendary 2 double rooms in ST JOHNS WOOD',"b'My name is MARINE and I speak ENGLISH and FRENCH.*BRAND NEW PROPERTY*BILLS ARE INCLUDED: Internet, gas, water, electricity, Council Tax, WIFI...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945720&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,2 doubles,,225-235,True,False,St John's Wood (NW8),True
b'Great double room in house near Kings Cross',"b'We are looking for one male and one female flatmate to join our house share near Kings Cross (location is excellent, just a 7 mins walk to the tube,...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=2609594&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,2 doubles,825,,True,False,King's Cross (N1),True
"b'Good Value Double & Single, Big Garden, Hoxton N1'",b'Looking for 2 professional non-smoking females to share a 3 bedroom furnished flat with one other professional females. There is one single and one...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=4234831&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,Single + double,680-800,,True,True,Hoxton (N1),True
b'\xc3\xb0\xc2\x9f\xc2\x92\xc2\xa5Great Mile End Area Rooms\xc3\xb0\xc2\x9f\xc2\x92\xc2\xa5',"b'These rooms are in a strategic location with easy access to many central attractions, shopping and restaurants.*ALL BILLS INCLUDED*UNLIMITED...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13835026&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,2 doubles,,175-190,True,True,Mile End (E3),False
b'Beautiful Double Room Available at Whitechapel',b'Lovely Double  RoomAvailable in A Luxurious house in zone 2 with excellent transport connections in a newly refurbished house.Amazing area with lots...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945396&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,Double room,,190,True,False,London E1 (E1),True
"b'# 1 Double Room + 1 Ensuite, New, Modern'","b'The property comprises of : 4 rooms, 2 bathrooms (one is en-suite)and a fully equipped kitchen. The property benefits from great transport...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13912111&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,2 doubles,,190-265,True,True,Canary Wharf (E14),False
"b'# Bright Big Double Rooms, Gym, Swimming Pool'","b'The Apartment 4 bed 2 bath A well presented three bedroom apartment within walking distance to Cutty Sark, Greenwich and Mudchute farm. The...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13912183&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,Double room,,195,True,True,Canary Wharf (E14),False
b'# 3 Bedrooms 2 Bath High Quality Building - New',b'The Apartment 1 ENSUITE (2pp)2 DOUBLE BEDROOMS (1pp) 24h  Concierge A well presented three bedroom apartment within walking distance to...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13913011&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,3 doubles,,200-260,True,False,Canary Wharf (E14),False
"b'#Luxurious Room , Gym, Sauna, Pool.Cinema'","b'The property benefits from great transport links providing easy access to Canary Wharf, Westfield Stratford City mall and central London.  The...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13913374&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D40&,3 doubles,,220-295,True,True,Canary Wharf (E14),False
b'Double Room shared lounge & cleaner',b'A double room in a friendly & well maintained professional house with plenty of shared space.  There is a good sized lounge & a dining room which can...',https://www.spareroom.co.uk/flatshare/fad_click.pl?fad_id=33597&search_id=885030262&offset=50&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,850,,False,False,Clapham Junction (SW11),False
"b'# 4 Rooms Available, 0 Deposit'","b'The FlatA great 4-bedroom apartment in the Greenwich area, very well linked to Cutty Sark and Greenwich. The apartment is furnished with a fully...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13673992&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,3 doubles,,140-220,True,False,Greenwich (SE8),False
"b'Lovely room, Couples ok/Available Now'","b'Hi everyone !Bright double room very well located in a friendly neighbourhood - Lots of bars, restaurants, caf\xc3\x83\xc2\xa9s around5 minutes away from...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945246&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,,280,True,True,Stockwell (SW8),True
b'Spacious room in ANGEL',"b'Hi everyone !Bright double room very well located in a friendly neighbourhood - Lots of bars, restaurants, caf\xc3\x83\xc2\xa9s around5 minutes away from...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945057&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,,250,True,False,Angel (N1),True
"b""Amazing Location ! Don't Wait ! Riverside Room""","b'Hi everyone !Bright double room very well located in a friendly neighbourhood - Lots of bars, restaurants, caf\xc3\x83\xc2\xa9s around5 minutes away from...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13945045&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,,215,True,False,King's Cross (N1),True
b'Double Room and roof terrace@ Shadwell',b'HiThere is a new opportunity to rent this ideally located room with double bed/ ideal for 1 person near Shadwell /Aldgate East AVAILABLE.For...',https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13931731&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,,180,True,True,Aldgate East (E1),False
b'Lovely ENSUITE room/Camden Area',"b'Hi everyone !Bright double room very well located in a friendly neighbourhood - Lots of bars, restaurants, caf\xc3\x83\xc2\xa9s around5 minutes away from...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13944988&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,,275,True,True,Camden (NW1),True
"b'(F) Stylish Flat, Balcony Room, Parsons Green'","b'*We have a fantastic room with own private balcony, available from the the 8th of October*This stylish flat with a modern finish is only 5 minutes...'",https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13832803&search_id=885030262&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Fsearch_id%3D885030262%26offset%3D50&,Double room,910,,True,True,Parsons Green (SW6),False
